timestep,time,price [EUR/kWh],grid supply [kW],fixed load [kW],local generation [kW],flex band min [kW],flex band base [kW],flex band max [kW],generated feed-in [kW],V2G feed-in [kW],sum CS power [kW],# occupied CS [-],# CS in use [-],C1 [kW],C2 [kW],C3 [kW]
0,2020-01-01 00:00:00,2.0,0,0,0,0,0,7,0,0,0,1,0,0,0,0
1,2020-01-01 00:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
2,2020-01-01 00:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
3,2020-01-01 00:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
4,2020-01-01 01:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
5,2020-01-01 01:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
6,2020-01-01 01:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
7,2020-01-01 01:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
8,2020-01-01 02:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
9,2020-01-01 02:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
10,2020-01-01 02:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
11,2020-01-01 02:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
12,2020-01-01 03:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
13,2020-01-01 03:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
14,2020-01-01 03:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
15,2020-01-01 03:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
16,2020-01-01 04:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
17,2020-01-01 04:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
18,2020-01-01 04:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
19,2020-01-01 04:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
20,2020-01-01 05:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
21,2020-01-01 05:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
22,2020-01-01 05:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
23,2020-01-01 05:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
24,2020-01-01 06:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
25,2020-01-01 06:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
26,2020-01-01 06:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
27,2020-01-01 06:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
28,2020-01-01 07:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
29,2020-01-01 07:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
30,2020-01-01 07:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
31,2020-01-01 07:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
32,2020-01-01 08:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2020-01-01 08:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2020-01-01 08:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2020-01-01 08:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2020-01-01 09:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2020-01-01 09:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2020-01-01 09:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2020-01-01 09:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2020-01-01 10:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2020-01-01 10:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2020-01-01 10:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2020-01-01 10:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2020-01-01 11:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2020-01-01 11:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2020-01-01 11:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2020-01-01 11:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2020-01-01 12:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2020-01-01 12:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2020-01-01 12:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2020-01-01 12:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2020-01-01 13:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2020-01-01 13:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2020-01-01 13:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2020-01-01 13:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2020-01-01 14:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2020-01-01 14:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2020-01-01 14:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2020-01-01 14:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2020-01-01 15:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2020-01-01 15:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2020-01-01 15:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2020-01-01 15:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2020-01-01 16:00:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2020-01-01 16:15:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2020-01-01 16:30:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2020-01-01 16:45:00,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2020-01-01 17:00:00,42,-3.96,0,0,0,0,7,0,0,3.96,1,1,3.96,0,0
69,2020-01-01 17:15:00,42,-1.935,0,0,0,0,7,0,0,1.935,1,1,1.935,0,0
70,2020-01-01 17:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
71,2020-01-01 17:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
72,2020-01-01 18:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
73,2020-01-01 18:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
74,2020-01-01 18:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
75,2020-01-01 18:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
76,2020-01-01 19:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
77,2020-01-01 19:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
78,2020-01-01 19:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
79,2020-01-01 19:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
80,2020-01-01 20:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
81,2020-01-01 20:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
82,2020-01-01 20:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
83,2020-01-01 20:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
84,2020-01-01 21:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
85,2020-01-01 21:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
86,2020-01-01 21:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
87,2020-01-01 21:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
88,2020-01-01 22:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
89,2020-01-01 22:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
90,2020-01-01 22:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
91,2020-01-01 22:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
92,2020-01-01 23:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
93,2020-01-01 23:15:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
94,2020-01-01 23:30:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
95,2020-01-01 23:45:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0
96,2020-01-02 00:00:00,42,0,0,0,0,0,7,0,0,0,1,0,0,0,0