timestep,time,price [EUR/kWh],grid power [kW],ext.load [kW],feed-in [kW],battery power [kW],bat. stored energy [kWh],flex min [kW],flex base [kW],flex max [kW],sum CS power,# occupied CS,CS_golf_0,CS_sprinter_0
0,2018-01-01 00:00:00,0.3,-0.0,0,0,0.0,0.0,0,0,208.0,0,2,0,0
1,2018-01-01 00:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
2,2018-01-01 00:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
3,2018-01-01 00:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
4,2018-01-01 01:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
5,2018-01-01 01:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
6,2018-01-01 01:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
7,2018-01-01 01:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
8,2018-01-01 02:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
9,2018-01-01 02:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
10,2018-01-01 02:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
11,2018-01-01 02:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
12,2018-01-01 03:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
13,2018-01-01 03:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
14,2018-01-01 03:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
15,2018-01-01 03:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
16,2018-01-01 04:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
17,2018-01-01 04:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
18,2018-01-01 04:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
19,2018-01-01 04:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
20,2018-01-01 05:00:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
21,2018-01-01 05:15:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
22,2018-01-01 05:30:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
23,2018-01-01 05:45:00,0.3,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
24,2018-01-01 06:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
25,2018-01-01 06:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
26,2018-01-01 06:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
27,2018-01-01 06:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
28,2018-01-01 07:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
29,2018-01-01 07:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
30,2018-01-01 07:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
31,2018-01-01 07:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
32,2018-01-01 08:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
33,2018-01-01 08:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
34,2018-01-01 08:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
35,2018-01-01 08:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
36,2018-01-01 09:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
37,2018-01-01 09:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
38,2018-01-01 09:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
39,2018-01-01 09:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
40,2018-01-01 10:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
41,2018-01-01 10:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
42,2018-01-01 10:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
43,2018-01-01 10:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
44,2018-01-01 11:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
45,2018-01-01 11:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
46,2018-01-01 11:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
47,2018-01-01 11:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
48,2018-01-01 12:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
49,2018-01-01 12:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
50,2018-01-01 12:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
51,2018-01-01 12:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
52,2018-01-01 13:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
53,2018-01-01 13:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
54,2018-01-01 13:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
55,2018-01-01 13:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
56,2018-01-01 14:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
57,2018-01-01 14:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
58,2018-01-01 14:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
59,2018-01-01 14:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
60,2018-01-01 15:00:00,0.1,-22.0,0,0,0,0.0,-166.25,0,197.0,22.0,1,22.0,0
61,2018-01-01 15:15:00,0.1,-10.17,0,0,0,0.0,-166.25,0,197.0,10.17,1,10.17,0
62,2018-01-01 15:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
63,2018-01-01 15:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
64,2018-01-01 16:00:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
65,2018-01-01 16:15:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
66,2018-01-01 16:30:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
67,2018-01-01 16:45:00,0.1,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
68,2018-01-01 17:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
69,2018-01-01 17:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
70,2018-01-01 17:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
71,2018-01-01 17:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
72,2018-01-01 18:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
73,2018-01-01 18:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
74,2018-01-01 18:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
75,2018-01-01 18:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
76,2018-01-01 19:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
77,2018-01-01 19:15:00,0.01,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
78,2018-01-01 19:30:00,0.01,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
79,2018-01-01 19:45:00,0.01,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
80,2018-01-01 20:00:00,0.01,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
81,2018-01-01 20:15:00,0.01,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
82,2018-01-01 20:30:00,0.01,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
83,2018-01-01 20:45:00,0.01,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
84,2018-01-01 21:00:00,0.01,-4.6,0,0,0,0.0,-166.25,0,208.0,4.6,2,0,4.6
85,2018-01-01 21:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
86,2018-01-01 21:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
87,2018-01-01 21:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
88,2018-01-01 22:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
89,2018-01-01 22:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
90,2018-01-01 22:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
91,2018-01-01 22:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
92,2018-01-01 23:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
93,2018-01-01 23:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
94,2018-01-01 23:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
95,2018-01-01 23:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
96,2018-01-02 00:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
97,2018-01-02 00:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
98,2018-01-02 00:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
99,2018-01-02 00:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
100,2018-01-02 01:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
101,2018-01-02 01:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
102,2018-01-02 01:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
103,2018-01-02 01:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
104,2018-01-02 02:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
105,2018-01-02 02:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
106,2018-01-02 02:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
107,2018-01-02 02:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
108,2018-01-02 03:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
109,2018-01-02 03:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
110,2018-01-02 03:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
111,2018-01-02 03:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
112,2018-01-02 04:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
113,2018-01-02 04:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
114,2018-01-02 04:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
115,2018-01-02 04:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
116,2018-01-02 05:00:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
117,2018-01-02 05:15:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
118,2018-01-02 05:30:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
119,2018-01-02 05:45:00,0.01,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
120,2018-01-02 06:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
121,2018-01-02 06:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
122,2018-01-02 06:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
123,2018-01-02 06:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
124,2018-01-02 07:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
125,2018-01-02 07:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
126,2018-01-02 07:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
127,2018-01-02 07:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
128,2018-01-02 08:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
129,2018-01-02 08:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,186.0,0,1,0,0
130,2018-01-02 08:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
131,2018-01-02 08:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
132,2018-01-02 09:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
133,2018-01-02 09:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
134,2018-01-02 09:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
135,2018-01-02 09:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
136,2018-01-02 10:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
137,2018-01-02 10:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
138,2018-01-02 10:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
139,2018-01-02 10:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
140,2018-01-02 11:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
141,2018-01-02 11:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
142,2018-01-02 11:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
143,2018-01-02 11:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
144,2018-01-02 12:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
145,2018-01-02 12:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
146,2018-01-02 12:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
147,2018-01-02 12:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
148,2018-01-02 13:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
149,2018-01-02 13:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
150,2018-01-02 13:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
151,2018-01-02 13:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
152,2018-01-02 14:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
153,2018-01-02 14:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
154,2018-01-02 14:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
155,2018-01-02 14:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
156,2018-01-02 15:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
157,2018-01-02 15:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
158,2018-01-02 15:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
159,2018-01-02 15:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
160,2018-01-02 16:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,175.0,0,0,0,0
161,2018-01-02 16:15:00,0.07,-22.0,0,0,0,0.0,-166.25,0,197.0,22.0,1,22.0,0
162,2018-01-02 16:30:00,0.07,-8.88,0,0,0,0.0,-166.25,0,197.0,8.88,1,8.88,0
163,2018-01-02 16:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,197.0,0,1,0,0
164,2018-01-02 17:00:00,0.07,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
165,2018-01-02 17:15:00,0.07,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
166,2018-01-02 17:30:00,0.07,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
167,2018-01-02 17:45:00,0.07,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
168,2018-01-02 18:00:00,0.07,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
169,2018-01-02 18:15:00,0.07,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
170,2018-01-02 18:30:00,0.07,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
171,2018-01-02 18:45:00,0.07,-11.0,0,0,0,0.0,-166.25,0,208.0,11.0,2,0,11.0
172,2018-01-02 19:00:00,0.07,-9.68,0,0,0,0.0,-166.25,0,208.0,9.68,2,0,9.68
173,2018-01-02 19:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
174,2018-01-02 19:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
175,2018-01-02 19:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
176,2018-01-02 20:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
177,2018-01-02 20:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
178,2018-01-02 20:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
179,2018-01-02 20:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
180,2018-01-02 21:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
181,2018-01-02 21:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
182,2018-01-02 21:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
183,2018-01-02 21:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
184,2018-01-02 22:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
185,2018-01-02 22:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
186,2018-01-02 22:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
187,2018-01-02 22:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
188,2018-01-02 23:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
189,2018-01-02 23:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
190,2018-01-02 23:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
191,2018-01-02 23:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
192,2018-01-03 00:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
193,2018-01-03 00:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
194,2018-01-03 00:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
195,2018-01-03 00:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
196,2018-01-03 01:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
197,2018-01-03 01:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
198,2018-01-03 01:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
199,2018-01-03 01:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
200,2018-01-03 02:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
201,2018-01-03 02:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
202,2018-01-03 02:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
203,2018-01-03 02:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
204,2018-01-03 03:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
205,2018-01-03 03:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
206,2018-01-03 03:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
207,2018-01-03 03:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
208,2018-01-03 04:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
209,2018-01-03 04:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
210,2018-01-03 04:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
211,2018-01-03 04:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
212,2018-01-03 05:00:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
213,2018-01-03 05:15:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
214,2018-01-03 05:30:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
215,2018-01-03 05:45:00,0.07,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
216,2018-01-03 06:00:00,0.2,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
217,2018-01-03 06:15:00,0.2,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
218,2018-01-03 06:30:00,0.2,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
219,2018-01-03 06:45:00,0.2,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
220,2018-01-03 07:00:00,0.2,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
221,2018-01-03 07:15:00,0.2,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
222,2018-01-03 07:30:00,0.2,-0.0,0,0,0.0,0.0,-166.25,0,208.0,0,2,0,0
